M N nhits nmiss rc rr rl ratio
1 128 100 10000 0.0028909095888957383 4.7785016708076e-05 5.940720830112696e-05 60.49824376031147
1 128 800 1 0.0001448348416015506 0.00016333592080045492 0.00017624673750251532 0.8867298809212529
1 128 800 100 0.00017539322499651462 0.00016401416659355165 0.0001762604417046532 1.0693785094257238
1 128 800 800 0.0003778443750925362 0.00016427197910379618 0.00017674829999450594 2.3001145852987688
1 128 800 3200 0.001072820374974981 0.0001667199542047456 0.00017813402088358998 6.434864861211938
1 128 800 10000 0.003007626251783222 0.0001762060333043337 0.00018741293328348546 17.068804032314887
1 128 3200 1 0.0005383725829888135 0.00059955441695638 0.0006090198329184205 0.8979544938086618
1 128 3200 100 0.0005654679159633815 0.0005978300001006574 0.0006101932919118553 0.9458674135927821
1 128 3200 800 0.0007688474999740719 0.0006000577078666538 0.0006110972501337528 1.2812892658399564
1 128 3200 3200 0.0014572960000950844 0.0006015119159128517 0.0006127191660925745 2.4227217475542417
1 128 3200 10000 0.003400216249283403 0.0006098266248591245 0.0006220959580969065 5.575709735646397
1 128 10000 1 0.0016559400418773294 0.0018542282080743462 0.001865710875019431 0.8930616170471578
1 128 10000 100 0.001686612708028406 0.0018555061668157576 0.0018655486251227557 0.908977150381995
1 128 10000 800 0.0018905415420886129 0.0018559914170764387 0.0018672342498321085 1.0186154551655189
1 128 10000 3200 0.0025815466698259114 0.0018600295840296894 0.0018743284170050173 1.3879062419174433
1 128 10000 10000 0.004540899998974055 0.0018664983748458326 0.001879926832858473 2.4328443357734613
8 1 1 1 1.627083665924147e-05 1.6617710830178112e-05 2.7656687493436038e-05 0.9791262361897216
8 1 1 100 1.8354068750049918e-05 1.7499541668221354e-05 2.87098916945979e-05 1.0488313978748574
8 1 1 800 3.116278338711709e-05 2.4145841598510744e-05 3.533563339151442e-05 1.290606635514379
8 1 1 3200 7.452541668899357e-05 4.537079581059516e-05 5.6813441589474676e-05 1.6425856182930367
8 1 1 10000 0.00019613407501019536 0.00010374070000834763 0.00011531985418405384 1.8906183879076697
8 1 100 1 1.737608167110011e-05 2.0138466684147716e-05 3.1380062503740195e-05 0.8628304201917192
8 1 100 100 1.919178333133459e-05 2.1189145813696085e-05 3.237484169658274e-05 0.9057365266196595
8 1 100 800 3.2201912510208785e-05 2.808238749857992e-05 3.916510830167681e-05 1.1466942585219004
8 1 100 3200 7.546094998251647e-05 4.976407079957426e-05 6.103485841304064e-05 1.5163741384107599
8 1 100 10000 0.00019704639578703792 0.00010981400411110371 0.00012111520417965949 1.794364911670804
8 1 800 1 2.4996804213151337e-05 4.6138474997133014e-05 5.730183329433203e-05 0.5417778592531419
8 1 800 100 2.6892141602002086e-05 4.727528342045844e-05 5.8380058291368186e-05 0.5688414675979389
8 1 800 800 3.978452500887215e-05 5.3673004219308496e-05 6.520111670251935e-05 0.7412390192714411
8 1 800 3200 8.263849578797817e-05 7.505193331744522e-05 8.626594578381628e-05 1.1010841711224715
8 1 800 10000 0.0002039412090089172 0.000135339108412154 0.00014681714999023826 1.5068904428411503
8 1 3200 1 4.981228339020163e-05 0.00013375440831296147 0.00014532880410552025 0.37241601244012656
8 1 3200 100 5.164416250772774e-05 0.00013470945418812334 0.00014635092499665916 0.3833744470199253
8 1 3200 800 6.414735419675708e-05 0.00014094747498165816 0.00015250636658165604 0.4551153130278122
8 1 3200 3200 0.0001072910208022222 0.00016252409170847387 0.00017361921251285821 0.6601545633903588
8 1 3200 10000 0.0002289291247725487 0.0002233356249053031 0.00023805520799942314 1.0250452648099349
8 1 10000 1 0.00011945734161417932 0.00038081558397971095 0.0003925727498717606 0.313688164664353
8 1 10000 100 0.00012121703750453889 0.0003822189581114799 0.00039384145801886917 0.317140306444936
8 1 10000 800 0.00013539462920743973 0.0003924231668934226 0.0004043732909485698 0.3450220084590757
8 1 10000 3200 0.00017663204590789974 0.00041189708304591475 0.00042191329086199405 0.4288256780109567
8 1 10000 10000 0.00029856779193505645 0.00046935199992731213 0.0004806222089100629 0.6361276653370929
8 8 1 1 1.6611752081662417e-05 1.6810069170314818e-05 2.7986324997618796e-05 0.9882024822953964
8 8 1 100 3.132958749774843e-05 1.7829405840020625e-05 2.9407149995677173e-05 1.7571862898215451
8 8 1 800 0.00013257457090076058 2.440705839544535e-05 3.577297909650952e-05 5.4318127466561315
8 8 1 3200 0.0004761479590088129 4.601957919076085e-05 5.745237919036299e-05 10.346638699912472
8 8 1 10000 0.001446880874922499 0.00010526979591231793 0.00011663124170154333 13.744501567454785
8 8 100 1 2.3062870791181923e-05 2.7145870798267422e-05 3.855188749730587e-05 0.8495903838403999
8 8 100 100 3.7780666700564324e-05 2.838487499393523e-05 3.972483752295375e-05 1.3310140244984916
8 8 100 800 0.00013986049578525127 3.513340000063181e-05 4.642140420619398e-05 3.9808414722951984
8 8 100 3200 0.0004831732090096921 5.6834604195319113e-05 6.808620418887585e-05 8.501391288821294
8 8 100 10000 0.0014548494999762625 0.00011762924171052873 0.00012953132088296116 12.368093841465631
8 8 800 1 8.09519707923755e-05 0.00010083745000883937 0.0001119590749964118 0.802796686997532
8 8 800 100 9.544998749624938e-05 0.00010199645839165896 0.00011341702921781689 0.9358166842394506
8 8 800 800 0.00019752090419642628 0.00010842171658296138 0.00011990508330054581 1.8217835911617262
8 8 800 3200 0.0005401116251014173 0.00012985506250988692 0.00014145592919085175 4.159342074632586
8 8 800 10000 0.0015133388340473175 0.0001906583833042532 0.00020111979194916785 7.9374366226127435
8 8 3200 1 0.00027656283415853977 0.000348436624975875 0.00036110391607508064 0.7937249253797254
8 8 3200 100 0.00029126108298078177 0.00034916645893827083 0.0003611352499574423 0.8341611157796627
8 8 3200 800 0.00039323674980551004 0.0003571974998340011 0.00036898062517866495 1.100894463114264
8 8 3200 3200 0.0007359419169370085 0.00037806745897978544 0.000390331249916926 1.9465888942754999
8 8 3200 10000 0.001709462125087157 0.0004359707918483764 0.00044945879094302653 3.9210473661310785
8 8 10000 1 0.000835167916957289 0.001053988166153431 0.0010652517909184099 0.7923883244394151
8 8 10000 100 0.0008467430830933154 0.0010551714580506087 0.0010635538750793784 0.8024696618098852
8 8 10000 800 0.000949007916962728 0.0010566522921435534 0.0010702358749695123 0.898126965718822
8 8 10000 3200 0.001290646041976288 0.0010791384580079466 0.0010911411670967935 1.1959967068162665
8 8 10000 10000 0.002260956249665469 0.001137242249911651 0.0011504822080023586 1.988104337348631
8 32 1 1 1.7682532500475644e-05 1.7587029999122025e-05 2.8731141705065965e-05 1.005430280232557
8 32 1 100 7.57768957875669e-05 1.8780344168189912e-05 2.9916191706433893e-05 4.034904531511066
