M N colnnz rac rar ratio
2 8 1 2.0700200088322164e-05 3.0988291464746e-05 0.6680006902565719
2 8 2 2.075825408101082e-05 3.0695487558841705e-05 0.6762640287507501
2 8 4 2.0832695811986923e-05 3.0036429315805435e-05 0.6935809710585197
2 8 10 2.1324174851179123e-05 2.9469104297459126e-05 0.7236112314760014
2 8 20 2.2217254526913164e-05 2.9580587707459926e-05 0.7510754940582265
2 8 40 2.3491220735013485e-05 3.0365124717354775e-05 0.7736250370671917
2 8 80 2.6056195981800557e-05 3.115601260215044e-05 0.8363135653630501
2 8 160 3.009434174746275e-05 3.1361337751150134e-05 0.9596000650947705
2 8 320 4.821176249533892e-05 3.490248769521713e-05 1.3813273975294784
2 8 640 8.837342914193869e-05 5.4984004236757755e-05 1.607257062643312
2 8 1280 0.0001630290834233165 8.814318757504225e-05 1.849593688502799
2 8 2560 0.000312414625659585 0.00015828171651810407 1.9737884610560905
2 8 5120 0.0006047642491757869 0.0002868092097342014 2.1085942454088147
2 16 1 2.0831745862960815e-05 3.099155817180872e-05 0.6721748466945519
2 16 2 2.1189379319548607e-05 3.030538745224476e-05 0.6991951300058064
2 16 4 2.1038645692169665e-05 2.9366116784512995e-05 0.7164258674904186
2 16 10 2.198919989168644e-05 2.9412020929157735e-05 0.7476262833026666
2 16 20 2.341393753886223e-05 3.041811678558588e-05 0.7697365916471629
2 16 40 2.6342741772532462e-05 3.101296257227659e-05 0.8494106846819278
2 16 80 3.5306558199226855e-05 3.130109179764986e-05 1.127965708911078
2 16 160 5.728500839322805e-05 3.392071258276701e-05 1.6887914206829187
2 16 320 9.002525825053453e-05 5.007133334875107e-05 1.7979401032423281
2 16 640 0.00016356505006551742 8.258062079548835e-05 1.9806711125433136
2 16 1280 0.000314543416723609 0.00013040914591401815 2.4119735967828126
2 16 2560 0.000608880914747715 0.00021296400018036365 2.859079066095871
2 16 5120 0.001197471084073186 0.0003500173334032297 3.421176524117067
2 32 1 2.091516237705946e-05 2.991797477006912e-05 0.6990834953836396
2 32 2 2.100746240466833e-05 2.9375904239714145e-05 0.7151256428820914
2 32 4 2.1619629114866258e-05 2.9304270818829536e-05 0.737763763122695
2 32 10 2.358299568295479e-05 3.0469371005892755e-05 0.7739902368970417
2 32 20 2.591947093605995e-05 3.1058991514146326e-05 0.8345239066843012
2 32 40 3.245138768106699e-05 3.07049710303545e-05 1.0568773261171946
2 32 80 6.129831243306398e-05 3.3298649825155734e-05 1.8408648024748342
2 32 160 0.00010654616244137287 5.002654604613781e-05 2.129792497429443
2 32 320 0.0001807351540774107 7.450197488069535e-05 2.4259109153392666
2 32 640 0.00031261949986219405 0.0001116181667894125 2.8007940719184745
2 32 1280 0.0006114889178425074 0.00017501693349331618 3.4938843095765924
2 32 2560 0.0011995747089385987 0.00026000654138624667 4.613632805324688
2 32 5120 0.0023986387439072134 0.000448039960116148 5.353626813298975
2 64 1 2.130655385553837e-05 2.9820066690444947e-05 0.7145038968797978
2 64 2 2.1555591560900213e-05 2.985042091459036e-05 0.7221201879389318
2 64 4 2.272143345326185e-05 3.019032496958971e-05 0.752606455086152
2 64 10 2.5957462564110756e-05 3.1061729043722154e-05 0.8356734593741808
2 64 20 3.196236230432987e-05 3.092493321746588e-05 1.0335466880257664
2 64 40 6.637822519987822e-05 3.3301487565040586e-05 1.9932510543331134
2 64 80 0.00013236023373901844 4.9571253918111326e-05 2.670100578001707
2 64 160 0.00023694558255374433 7.414527498185635e-05 3.195693624600163
2 64 320 0.000341221584007144 0.00010872239600867033 3.1384663743055516
2 64 640 0.0006168213319033384 0.0001580823166295886 3.9018996245395776
2 64 1280 0.0012124858349561692 0.000212441248819232 5.707393652105121
2 64 2560 0.0024030725099146366 0.000321045957505703 7.485135550638257
2 64 5120 0.004717293735593557 0.0006254623737186193 7.542090353968688
2 128 1 2.1540495939552785e-05 2.963703740388155e-05 0.7268100264546562
2 128 2 2.233704589307308e-05 3.0274845659732817e-05 0.7378087453896606
2 128 4 2.449195384979248e-05 3.099478743970394e-05 0.7901958965660978
2 128 10 3.122275434434414e-05 3.160733319818973e-05 0.9878326067107863
2 128 20 6.21435584500432e-05 3.401915840804577e-05 1.8267223928545455
2 128 40 0.00013707359172403813 4.8386287502944466e-05 2.8329016090704777
2 128 80 0.0002591499164700508 7.428033333271741e-05 3.4888092829263866
2 128 160 0.00045069083385169506 0.00010854014176875353 4.152296344074241
2 128 320 0.0006940199583768845 0.00014281250815838576 4.8596580742576405
2 128 640 0.0012428897917270661 0.00019063513334840535 6.5197310165044815
2 128 1280 0.0024034095741808413 0.00026033175177872183 9.23210310597727
2 128 2560 0.004768065419048071 0.000451189624145627 10.56776389323421
2 128 5120 0.009498183745890856 0.0009872457087039947 9.620891397299243
4 1 1 2.0884804427623748e-05 3.1103420816361904e-05 0.6714632628652001
4 1 2 2.069253344088793e-05 3.088342510163784e-05 0.6700206784962638
4 1 4 2.0721408538520336e-05 3.10399167239666e-05 0.6675729423758693
4 1 10 2.0947400107979776e-05 3.102505449205637e-05 0.6751768997970053
4 1 20 2.111128307878971e-05 3.106256648898125e-05 0.6796374371151356
4 1 40 2.1527920663356782e-05 3.0586512573063375e-05 0.7038370462121849
4 1 80 2.244692910462618e-05 3.0027795769274235e-05 0.7475383566979921
4 1 160 2.3766220733523367e-05 3.077162075787783e-05 0.7723421824454596
4 1 320 2.5062025152146816e-05 3.2929295673966406e-05 0.7610859764595761
4 1 640 2.9493229277431964e-05 3.6341187357902525e-05 0.8115648227717731
4 1 1280 4.863752070814371e-05 4.097544606775045e-05 1.1869918542857223
4 1 2560 9.060396663844585e-05 6.131414603441953e-05 1.4777008651084218
4 1 5120 0.0001667544959113002 0.00016453694570809602 1.0134775213777112
4 2 1 2.0667079277336598e-05 3.124012481421232e-05 0.6615555923750457
4 2 2 2.0745966583490373e-05 3.091842085123062e-05 0.6709904973256304
